CO2_concentration,Cap_eff(%),HE_left_min_apprch,FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_temp(C)_i,RA_to_Reg_temp_i,L/G (kg/kg)_i,Lean_loading(mol/mol)_i,HE_left_min_apprch_i,Abs_ht(m)_i,Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_temp_after_abs_o,SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,SLAD(MJ/kgco2)_o
0.124,87.0,11.0,0.124,35.0,35.0,108.49999983725648,3.034265879535663,0.29305659875255596,11.0,24.0,87.0,0.4937460114611614,44.38211077020841,3.5490193286178626,1.291131376862388,0.9854680539632652,1.3538789308992694
0.124,87.0,12.0,0.124,35.0,35.0,108.49999974978152,2.9442025622204433,0.2881850804046374,12.0,24.0,87.0,0.494340161134617,43.95565164598586,3.5721224236156295,1.2772370809685143,0.985505273148958,1.3516662794377827
0.124,87.0,13.0,0.124,35.0,35.0,108.49999980897137,2.8687987115677283,0.2838298622211283,13.0,24.0,87.0,0.4947965982368364,43.59478522082785,3.5941850567158533,1.2638239924206192,0.9855367501976028,1.3567675183075896
0.124,87.0,14.0,0.124,35.0,35.0,108.49999981874126,2.8048397512490064,0.27994828222732493,14.0,24.0,87.0,0.4951504195286688,43.286813825854324,3.61527309388129,1.2508201740651064,0.9855635537312097,1.3672296475853052
0.124,87.0,15.0,0.124,35.0,35.0,108.49999972926871,2.749629548378622,0.27646900284852644,15.0,24.0,87.0,0.4954295030312524,43.020266342435306,3.635442366974703,1.2382141553945203,0.9855866668489133,1.3813565319542653
0.124,88.0,5.0,0.124,35.0,35.0,108.49999984627719,3.5675543223976005,0.309465620757564,5.0,24.0,88.0,0.4893345448253906,46.79275018404103,3.4074621300197387,1.401967933877492,0.9853066846029023,1.2865295856868353
0.124,88.0,6.0,0.124,35.0,35.0,108.4999998463733,3.4801474444044995,0.30686506427273047,6.0,24.0,88.0,0.48997787845260415,46.45211783976877,3.4346785426810515,1.3840150053787705,0.985337414903373,1.3058098499268658
0.124,88.0,7.0,0.124,35.0,35.0,108.4999998446107,3.3852783438076646,0.303710383058448,7.0,24.0,88.0,0.4906944025187631,46.06221223266854,3.4613563797184983,1.3663416453381114,0.9853714505891108,1.317148435023838
0.124,88.0,8.0,0.124,35.0,35.0,108.4999998412117,3.284797390202264,0.2999641013406114,8.0,24.0,88.0,0.4914606788485449,45.62993969628259,3.487340235307272,1.3491964944303323,0.9854083056506738,1.3213532505825327
0.124,88.0,9.0,0.124,35.0,35.0,108.49999975749931,3.1837706464660096,0.2957528615615308,9.0,24.0,88.0,0.4922220188372081,45.17899657524416,3.5124953055398827,1.3327881479282915,0.985446220061081,1.3216103470285852
0.124,88.0,10.0,0.124,35.0,35.0,108.49999983044546,3.0887949945221354,0.291374568507935,10.0,24.0,88.0,0.4929126103941729,44.74326124076705,3.536738188010999,1.3171651379081197,0.9854826311412122,1.322477561798307
0.124,88.0,11.0,0.124,35.0,35.0,108.49999982562542,3.0040372189547018,0.28712229742337947,11.0,24.0,88.0,0.4934953427311169,44.34684035611228,3.5600442665240126,1.3022271732521733,0.9855156909889768,1.3271001056373604
0.124,88.0,12.0,0.124,35.0,35.0,108.49999982117244,2.930107829711793,0.28315118763771974,12.0,24.0,88.0,0.49396969999958895,43.99645683358422,3.5824268504749663,1.2878510752740766,0.9855448778237058,1.3362276753685791
0.124,88.0,13.0,0.124,35.0,35.0,108.4999998155468,2.865756369207385,0.27950141433568376,13.0,24.0,88.0,0.4943524634885463,43.68872133955504,3.603913921219107,1.2739605352926142,0.9855704610767402,1.3492625783954437
0.124,88.0,14.0,0.124,35.0,35.0,108.49999980524147,2.8093470916900745,0.27616070909324586,14.0,24.0,88.0,0.4946626718227837,43.41744586176449,3.6245363682175467,1.2605238801287026,0.9855929421869176,1.3652659036275159
0.124,88.0,15.0,0.124,35.0,35.0,108.49999972104546,2.759424190888037,0.27310083233048055,15.0,24.0,88.0,0.49491638254391396,43.17673054135301,3.644324546859063,1.2475347641084211,0.9856128114783996,1.3833702482054633
0.124,89.0,5.0,0.124,35.0,35.0,108.4999998280177,3.467883116661421,0.301412324573958,5.0,24.0,89.0,0.4895919126261886,46.5036096981003,3.4267209934693126,1.4135240811249743,0.9853863802355726,1.220315574511069
0.124,89.0,6.0,0.124,35.0,35.0,108.49999982913053,3.3849769352399224,0.29873637494704164,6.0,24.0,89.0,0.4902092131010077,46.16843838461532,3.4525542510459246,1.3957612907756476,0.9854146062334087,1.2408004149022607
0.124,89.0,7.0,0.124,35.0,35.0,108.49999975039849,3.298874043118411,0.29565544642197505,7.0,24.0,89.0,0.49085777378614265,45.80437384149981,3.4778855338262478,1.3783250373450322,0.9854445174247549,1.2564094546215478
0.124,89.0,8.0,0.124,35.0,35.0,108.49999974326681,3.2125740160244898,0.29224875658802135,8.0,24.0,89.0,0.4915033815273583,45.4261352381798,3.5026050539892557,1.361375359833857,0.9854751038214618,1.268899586648404
0.124,89.0,9.0,0.124,35.0,35.0,108.49999975162831,3.129626009175345,0.2886659694306916,9.0,24.0,89.0,0.4921083568275738,45.05234931390083,3.526627490581484,1.345000028887509,0.9855050604568538,1.2805844391168544
0.124,89.0,10.0,0.124,35.0,35.0,108.4999997626683,3.0527429025647614,0.28507159625816175,10.0,24.0,89.0,0.49264623927375545,44.69855136880208,3.5498995270295417,1.3292050568146865,0.9855332815234696,1.2933859055959278
0.124,89.0,11.0,0.124,35.0,35.0,108.49999981389193,2.9830974421135608,0.2815882507629648,11.0,24.0,89.0,0.49310798618544793,44.37298183280245,3.5723955678530266,1.3139533302301851,0.985559173359649,1.3082708249068622
0.124,89.0,12.0,0.124,35.0,35.0,108.49999980998876,2.920637171027503,0.2782825197905558,12.0,24.0,89.0,0.4934973422898472,44.07755658753299,3.5941082573346064,1.2992059926929564,0.9855826007144247,1.3253824865648483
0.124,89.0,13.0,0.124,35.0,35.0,108.49999974596126,2.864706566351527,0.27517997954916285,13.0,24.0,89.0,0.4938236730238904,43.810759446169534,3.61504061704344,1.2849396662134924,0.9856036864214972,1.344426227379881
0.124,89.0,14.0,0.124,35.0,35.0,108.49999996211596,2.814478621113868,0.272283494372714,14.0,24.0,89.0,0.49409734823741575,43.56982048180427,3.635201614520664,1.2711462733135936,0.9856226544030477,1.3649586538135234
0.124,89.0,15.0,0.124,35.0,35.0,108.49999971243906,2.7691536788679794,0.26958514030720027,15.0,24.0,89.0,0.494327775303729,43.351794177876364,3.6546042029121817,1.257827585441816,0.9856397487276797,1.386530784337076
0.124,90.0,5.0,0.124,35.0,35.0,108.49999972092398,3.3757771965092402,0.293189274921033,5.0,24.0,90.0,0.48975203678613066,46.243236524558846,3.4471719491112016,1.4260803322861193,0.9854618204620941,1.1609003388274248
0.124,90.0,6.0,0.124,35.0,35.0,108.49999981033918,3.3026095543191927,0.2906860237106819,6.0,24.0,90.0,0.490282163138909,45.943458819051386,3.4716790287170376,1.408582814578539,0.9854857624105164,1.1860656085821073
0.124,90.0,7.0,0.124,35.0,35.0,108.499999809582,3.2293124984824755,0.2879428959646962,7.0,24.0,90.0,0.49081386722672454,45.63128568016738,3.4957565146881655,1.3913660917822461,0.9855101951398899,1.2087350533692443
0.124,90.0,8.0,0.124,35.0,35.0,108.49999980853913,3.157816026530757,0.2850386617831935,8.0,24.0,90.0,0.4913248040028173,45.31734904526791,3.519328430395427,1.3745245810286881,0.9855344381900877,1.2300508794216318
0.124,90.0,9.0,0.124,35.0,35.0,108.49999971965865,3.0897685415683322,0.28206328263969643,9.0,24.0,90.0,0.49179729761716107,45.01129451385379,3.542331954634523,1.3581129251715387,0.9855578635204529,1.251072661460217
